date,weekday,blocks,total_hours,main_focus,block_1,block_2,block_3,block_4,block_5,notes
2026-05-14,Thursday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-15,Friday,5,7.5,Sterrenstelsels,Sterrenstelsels - theory and core concepts,Sterrenstelsels - course exercises,Sterren en Planeten - theory,Sterrenstelsels - write summary,Sterrenstelsels - presentation slide draft,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-16,Saturday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - basic questions,Sterrenstelsels - presentation structure and sources,Sterrenstelsels - review block,,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-17,Sunday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - basic questions,Sterrenstelsels - presentation structure and sources,Sterrenstelsels - review block,,Phase 1: build the foundation for Sterrenstelsels and start the presentation.
2026-05-18,Monday,3,4.5,Sterrenstelsels,Sterrenstelsels - presentation run-through,Sterrenstelsels - presentation final checks,Sterren en Planeten - light review,,,Presentation day; avoid new material and focus on execution.
2026-05-19,Tuesday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-20,Wednesday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-21,Thursday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-22,Friday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-23,Saturday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - exercises,Groups and Representations - basics,Thermische Fysica - summary,,"Phase 2: after the presentation, broaden into the June exams."
2026-05-24,Sunday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - exercises,Groups and Representations - basics,Thermische Fysica - summary,,"Phase 2: after the presentation, broaden into the June exams."
2026-05-25,Monday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-26,Tuesday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-27,Wednesday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-28,Thursday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-29,Friday,5,7.5,Sterrenstelsels,Sterrenstelsels - deepening,Sterren en Planeten - theory,Thermische Fysica - exercises,Relativity & Electromagnetism - introduction,Sterrenstelsels - active recall,"Phase 2: after the presentation, broaden into the June exams."
2026-05-30,Saturday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - exercises,Groups and Representations - basics,Thermische Fysica - summary,,"Phase 2: after the presentation, broaden into the June exams."
2026-05-31,Sunday,4,6.0,Sterrenstelsels,Sterrenstelsels - practice questions,Sterren en Planeten - exercises,Groups and Representations - basics,Thermische Fysica - summary,,"Phase 2: after the presentation, broaden into the June exams."
2026-06-01,Monday,5,7.5,Sterrenstelsels,Sterrenstelsels - timed set,Sterrenstelsels - formula sheet,Sterren en Planeten - maintenance,Sterrenstelsels - weak spots,Sterrenstelsels - short recall,Phase 3A: final build-up to the Sterrenstelsels exam.
2026-06-02,Tuesday,5,7.5,Sterrenstelsels,Sterrenstelsels - timed set,Sterrenstelsels - formula sheet,Sterren en Planeten - maintenance,Sterrenstelsels - weak spots,Sterrenstelsels - short recall,Phase 3A: final build-up to the Sterrenstelsels exam.
2026-06-03,Wednesday,5,7.5,Sterrenstelsels,Sterrenstelsels - timed set,Sterrenstelsels - formula sheet,Sterren en Planeten - maintenance,Sterrenstelsels - weak spots,Sterrenstelsels - short recall,Phase 3A: final build-up to the Sterrenstelsels exam.
2026-06-04,Thursday,2,3.0,Sterrenstelsels,Sterrenstelsels - quiet final recap,Sterrenstelsels - exam day,,,,Exam Sterrenstelsels; only a light warm-up before the test.
2026-06-05,Friday,5,7.5,Sterren en Planeten,Sterren en Planeten - theory,Sterren en Planeten - exercises,Thermische Fysica - open-book set,Sterren en Planeten - mock exam,Sterren en Planeten - summary,Phase 3B: peak effort on Sterren en Planeten and parallel Thermische Fysica.
2026-06-06,Saturday,4,6.0,Sterren en Planeten,Sterren en Planeten - practice questions,Thermische Fysica - formulas and notes,Sterren en Planeten - recall,Sterren en Planeten - error analysis,,Phase 3B: peak effort on Sterren en Planeten and parallel Thermische Fysica.
2026-06-07,Sunday,4,6.0,Sterren en Planeten,Sterren en Planeten - practice questions,Thermische Fysica - formulas and notes,Sterren en Planeten - recall,Sterren en Planeten - error analysis,,Phase 3B: peak effort on Sterren en Planeten and parallel Thermische Fysica.
2026-06-08,Monday,5,7.5,Sterren en Planeten,Sterren en Planeten - theory,Sterren en Planeten - exercises,Thermische Fysica - open-book set,Sterren en Planeten - mock exam,Sterren en Planeten - summary,Phase 3B: peak effort on Sterren en Planeten and parallel Thermische Fysica.
2026-06-09,Tuesday,2,3.0,Sterren en Planeten,Sterren en Planeten - quiet final recap,Sterren en Planeten - exam day,,,,Exam Sterren en Planeten; short review and then rest.
2026-06-10,Wednesday,3,4.5,Thermische Fysica,Thermische Fysica - open-book exercise set,Thermische Fysica - formula sheet and approach,Thermische Fysica - exam day,,,Open-book exam/practice moment Thermische Fysica; focus on structure.
2026-06-11,Thursday,3,4.5,Thermische Fysica,Thermische Fysica - oral core questions,Thermische Fysica - oral explanation practice,Thermische Fysica - exam day,,,Oral Thermische Fysica; answer clearly and concisely out loud.
2026-06-12,Friday,5,7.5,Relativity & Electromagnetism,Relativity & Electromagnetism - theory,Relativity & Electromagnetism - exercises,Relativity & Electromagnetism - derivations,Groups and Representations - introduction,Relativity & Electromagnetism - summary,Phase 4: shift focus toward Relativity & Electromagnetism.
2026-06-13,Saturday,4,6.0,Relativity & Electromagnetism,Relativity & Electromagnetism - practice questions,Groups and Representations - basics,Relativity & Electromagnetism - error analysis,Relativity & Electromagnetism - recall,,Phase 4: shift focus toward Relativity & Electromagnetism.
2026-06-14,Sunday,4,6.0,Relativity & Electromagnetism,Relativity & Electromagnetism - practice questions,Groups and Representations - basics,Relativity & Electromagnetism - error analysis,Relativity & Electromagnetism - recall,,Phase 4: shift focus toward Relativity & Electromagnetism.
2026-06-15,Monday,5,7.5,Relativity & Electromagnetism,Relativity & Electromagnetism - theory,Relativity & Electromagnetism - exercises,Relativity & Electromagnetism - derivations,Groups and Representations - introduction,Relativity & Electromagnetism - summary,Phase 4: shift focus toward Relativity & Electromagnetism.
2026-06-16,Tuesday,5,7.5,Relativity & Electromagnetism,Relativity & Electromagnetism - theory,Relativity & Electromagnetism - exercises,Relativity & Electromagnetism - derivations,Groups and Representations - introduction,Relativity & Electromagnetism - summary,Phase 4: shift focus toward Relativity & Electromagnetism.
2026-06-17,Wednesday,5,7.5,Relativity & Electromagnetism,Relativity & Electromagnetism - theory,Relativity & Electromagnetism - exercises,Relativity & Electromagnetism - derivations,Groups and Representations - introduction,Relativity & Electromagnetism - summary,Phase 4: shift focus toward Relativity & Electromagnetism.
2026-06-18,Thursday,2,3.0,Relativity & Electromagnetism,Relativity & Electromagnetism - quiet final recap,Relativity & Electromagnetism - exam day,,,,Exam Relativity & Electromagnetism; only short review.
2026-06-19,Friday,5,7.5,Groups and Representations,Groups and Representations - theory,Groups and Representations - exercises,Groups and Representations - proof practice,Groups and Representations - mock exam,Groups and Representations - recall,Phase 5: final stretch toward Groups and Representations.
2026-06-20,Saturday,4,6.0,Groups and Representations,Groups and Representations - practice questions,Groups and Representations - summary,Groups and Representations - error analysis,Groups and Representations - final recall,,Phase 5: final stretch toward Groups and Representations.
2026-06-21,Sunday,4,6.0,Groups and Representations,Groups and Representations - practice questions,Groups and Representations - summary,Groups and Representations - error analysis,Groups and Representations - final recall,,Phase 5: final stretch toward Groups and Representations.
2026-06-22,Monday,2,3.0,Groups and Representations,Groups and Representations - quiet final recap,Groups and Representations - exam day,,,,Exam Groups and Representations; minimal warm-up.
